[1, [9.97136721 7.40058682 1.28405901], 196084.364, [6.65043461 5.0855961  1.88730826]]
X[1, [9.97040049 7.54314344 0.93811255], 196084.404, [6.63922169 5.14322431 1.89746748]]
[1, [9.96906724 7.41294218 1.28771557], 196084.404, [6.63922169 5.14322431 1.89746748]]
X[1, [9.96754499 7.55265313 0.94249062], 196084.444, [6.62840073 5.19872955 1.90744388]]
[1, [9.96835686 7.42435705 1.28767054], 196084.444, [6.62840073 5.19872955 1.90744388]]
X[1, [9.97332003 7.53812546 0.93628669], 196084.464, [6.62314134 5.22567225 1.91235213]]
[1, [9.97118309 7.40196617 1.28305493], 196084.464, [6.62314134 5.22567225 1.91235213]]
X[1, [9.97577747 7.51962261 0.93410024], 196084.484, [6.61798347 5.25207276 1.91721243]]
[1, [9.9746569  7.38698714 1.28126626], 196084.484, [6.61798347 5.25207276 1.91721243]]
X[1, [9.9746109  7.52934632 0.93506642], 196084.524, [6.607972   5.30325286 1.92682301]]
[1, [9.97406245 7.39885788 1.28267304], 196084.524, [6.607972   5.30325286 1.92682301]]
X[1, [9.97803296 7.50995342 0.92807175], 196084.544, [6.60311873 5.32803478 1.93159035]]
[1, [9.97654892 7.38145976 1.27660691], 196084.544, [6.60311873 5.32803478 1.93159035]]
X[1, [9.97002415 7.54809547 0.94134484], 196084.604, [6.58917651 5.39913754 1.94573137]]
[1, [9.96993959 7.41611267 1.28515029], 196084.604, [6.58917651 5.39913754 1.94573137]]
X[1, [9.97709353 7.52985256 0.93570585], 196084.624, [6.58473781 5.4217482  1.95034958]]
[1, [9.97563874 7.39891516 1.28511739], 196084.624, [6.58473781 5.4217482  1.95034958]]
X[1, [9.97694365 7.532779   0.93265201], 196084.664, [6.57619529 5.46530653 1.95932642]]
[1, [9.97428121 7.39959581 1.27886806], 196084.664, [6.57619529 5.46530653 1.95932642]]
X[1, [9.97954296 7.49558432 0.88186057], 196084.684, [6.572128   5.48620193 1.96364888]]
[1, [9.97731732 7.37279523 1.237113  ], 196084.684, [6.572128   5.48620193 1.96364888]]
X[1, [9.97309851 7.52361365 0.9051523 ], 196084.724, [6.56451941 5.52585262 1.9718885 ]]
[1, [9.9722303  7.39727394 1.25217876], 196084.724, [6.56451941 5.52585262 1.9718885 ]]
X[1, [9.97125174 7.54993399 0.9427575 ], 196084.764, [6.55766889 5.56203683 1.979699  ]]
[1, [9.97125875 7.41208249 1.28568084], 196084.764, [6.55766889 5.56203683 1.979699  ]]
X[1, [9.97236382 7.54767337 0.94529165], 196084.784, [6.55451701 5.57870831 1.98357881]]
[1, [9.9716893  7.409732   1.29288894], 196084.784, [6.55451701 5.57870831 1.98357881]]
X[1, [9.97276584 7.54298888 0.95243341], 196084.804, [6.55153615 5.5944436  1.98753315]]
[1, [9.97273627 7.40429965 1.29590304], 196084.804, [6.55153615 5.5944436  1.98753315]]
X[1, [9.97181077 7.55099851 0.95433935], 196084.844, [6.5460578  5.62324633 1.99592559]]
[1, [9.97159249 7.41429033 1.29494335], 196084.844, [6.5460578  5.62324633 1.99592559]]
X[1, [9.97116232 7.55783897 0.94941317], 196084.904, [6.53891039 5.66045581 2.01027339]]
[1, [9.96994169 7.42360166 1.29294072], 196084.904, [6.53891039 5.66045581 2.01027339]]
X[1, [9.96945516 7.55579652 0.94020827], 196084.944, [6.5347314  5.68190804 2.02123434]]
[1, [9.97014655 7.4258617  1.28971409], 196084.944, [6.5347314  5.68190804 2.02123434]]
X[1, [9.97054725 7.55181691 0.94314824], 196084.964, [6.53278926 5.6917969  2.02720924]]
[1, [9.96936454 7.41976826 1.28976852], 196084.964, [6.53278926 5.6917969  2.02720924]]
X[1, [9.97082505 7.55596873 0.94912644], 196084.984, [6.53093584 5.70118661 2.03354672]]
[1, [9.97134593 7.41529115 1.28703796], 196084.984, [6.53093584 5.70118661 2.03354672]]
X[1, [9.97028383 7.56016623 0.94399013], 196085.024, [6.52746532 5.71862919 2.0472777 ]]
[1, [9.96931064 7.41976907 1.29262598], 196085.024, [6.52746532 5.71862919 2.0472777 ]]
X[1, [9.97027385 7.55446627 0.93925874], 196085.064, [6.52425527 5.734587   2.06211453]]
[1, [9.96912606 7.41940129 1.2899434 ], 196085.064, [6.52425527 5.734587   2.06211453]]
X[1, [9.97092696 7.55027606 0.94030129], 196085.084, [6.52273078 5.74211301 2.06978782]]
[1, [9.96979085 7.41699751 1.28322019], 196085.084, [6.52273078 5.74211301 2.06978782]]
X[1, [9.9712119  7.54710017 0.93523781], 196085.104, [6.52125461 5.74937406 2.07755562]]
[1, [9.97014452 7.41482971 1.27863376], 196085.104, [6.52125461 5.74937406 2.07755562]]
X[1, [9.97006521 7.55135102 0.94246673], 196085.164, [6.51709076 5.76972397 2.10134008]]
[1, [9.96877789 7.42128985 1.28676012], 196085.164, [6.51709076 5.76972397 2.10134008]]
X[1, [9.96832617 7.55033676 0.93595162], 196085.184, [6.51578351 5.77607196 2.10950723]]
[1, [9.96933087 7.41783259 1.28388993], 196085.184, [6.51578351 5.77607196 2.10950723]]
