[1, [9.97525658 7.52227465 0.93293231], 68888.25, [6.59591488 5.07630886 2.02480412]]
[1, [9.97413191 7.39150527 1.28489622], 68888.25, [6.59591488 5.07630886 2.02480412]]
X[1, [9.97898139 7.49823691 0.92832902], 68888.27, [6.58993226 5.10634734 2.02956501]]
[1, [9.97860977 7.36608661 1.27679015], 68888.27, [6.58993226 5.10634734 2.02956501]]
X[1, [9.983077   7.48207145 0.91930658], 68888.29, [6.58404904 5.13586416 2.03428995]]
[1, [9.98261005 7.34790581 1.26859923], 68888.29, [6.58404904 5.13586416 2.03428995]]
X[1, [9.98172085 7.49465904 0.92857817], 68888.33, [6.57258548 5.19331726 2.04360094]]
[1, [9.98022939 7.3603512  1.27022094], 68888.33, [6.57258548 5.19331726 2.04360094]]
X[1, [9.97219881 7.5392584  0.93656403], 68888.39, [6.55616137 5.27549211 2.05725851]]
[1, [9.97103618 7.40134388 1.28642831], 68888.39, [6.55616137 5.27549211 2.05725851]]
X[1, [9.97060152 7.546322   0.94168182], 68888.43, [6.54573008 5.32759319 2.06625997]]
[1, [9.97066261 7.41075296 1.29170833], 68888.43, [6.54573008 5.32759319 2.06625997]]
X[1, [9.9740895  7.53128008 0.93853136], 68888.45, [6.54067058 5.3528388  2.07074558]]
[1, [9.9727117  7.39743719 1.28120279], 68888.45, [6.54067058 5.3528388  2.07074558]]
X[1, [9.97223835 7.54363475 0.93551387], 68888.49, [6.53086655 5.40171338 2.07965827]]
[1, [9.97083136 7.40674233 1.28694034], 68888.49, [6.53086655 5.40171338 2.07965827]]
X[1, [9.97415108 4.25163477 3.7992204 ], 68890.65, [6.40104604 6.04685079 3.74978344]]
[2, [9.97848846 4.60382017 3.91249581], 68890.65, [6.40104604 6.04685079 3.74978344]]
[1, [9.97413641 4.36556619 4.06122861], 68890.65, [6.40104604 6.04685079 3.74978344]]
X[1, [9.97435773 4.25295506 3.78042719], 68890.67, [6.40070699 6.04851093 3.77536507]]
[2, [9.97874033 4.6051478  3.89375745], 68890.67, [6.40070699 6.04851093 3.77536507]]
[1, [9.9743021  4.36687372 4.05128266], 68890.67, [6.40070699 6.04851093 3.77536507]]
X[1, [9.97388794 4.25747019 3.81841633], 68890.73, [6.39972287 6.0533186  3.84956288]]
[2, [9.97776918 4.60549395 3.93186826], 68890.73, [6.39972287 6.0533186  3.84956288]]
[1, [9.97498696 4.36631531 4.08065016], 68890.73, [6.39972287 6.0533186  3.84956288]]
X[1, [9.97423175 4.25865057 3.79816488], 68890.75, [6.39940601 6.0548635  3.87348442]]
[2, [9.97851642 4.60216068 3.91164269], 68890.75, [6.39940601 6.0548635  3.87348442]]
[1, [9.9734343  4.36406057 4.06476135], 68890.75, [6.39940601 6.0548635  3.87348442]]
X[1, [9.97434709 4.25115718 3.78627936], 68890.77, [6.39909486 6.05637959 3.89701556]]
[2, [9.97867759 4.6034596  3.89977041], 68890.77, [6.39909486 6.05637959 3.89701556]]
[1, [9.97433489 4.36493265 4.04856245], 68890.77, [6.39909486 6.05637959 3.89701556]]
X[1, [9.97418966 4.25388262 3.79641001], 68890.81, [6.39848997 6.05932534 3.94288198]]
[2, [9.97801249 4.60203683 3.90996439], 68890.81, [6.39848997 6.05932534 3.94288198]]
[1, [9.97424958 4.36758638 4.05875772], 68890.81, [6.39848997 6.05932534 3.94288198]]
X[1, [9.97338193 4.2568472  3.80089836], 68890.85, [6.39790863 6.06215686 3.9870542 ]]
[2, [9.97800234 4.60462172 3.91878878], 68890.85, [6.39790863 6.06215686 3.9870542 ]]
[1, [9.97421651 4.37013875 4.06763704], 68890.85, [6.39790863 6.06215686 3.9870542 ]]
X[1, [9.9740557  4.25889595 3.81253137], 68890.89, [6.39735083 6.06487755 4.029419  ]]
[2, [9.97837414 4.60254313 3.92602387], 68890.89, [6.39735083 6.06487755 4.029419  ]]
[1, [9.97403651 4.363892   4.07496124], 68890.89, [6.39735083 6.06487755 4.029419  ]]
X[1, [ 9.9688416  12.18766391  3.80947268], 68894.85, [ 6.38791509 12.43138018  4.56408151]]
[1, [ 9.9751009  13.45743648  3.87211359], 68894.85, [ 6.38791509 12.43138018  4.56408151]]
[2, [ 9.97459511 11.83459711  3.92242672], 68894.85, [ 6.38791509 12.43138018  4.56408151]]
[1, [ 9.97411875 15.03519835  3.98998906], 68894.85, [ 6.38791509 12.43138018  4.56408151]]
[1, [ 9.96883748 12.08054734  4.07511456], 68894.85, [ 6.38791509 12.43138018  4.56408151]]
[1, [ 9.97505945 13.26126141  4.09659164], 68894.85, [ 6.38791509 12.43138018  4.56408151]]
[1, [ 9.97407928 14.75706162  4.09364235], 68894.85, [ 6.38791509 12.43138018  4.56408151]]
X[1, [ 9.9701595  12.23128668  3.81761373], 68894.91, [ 6.38790883 12.52702773  4.58196908]]
[1, [ 9.97403897 13.50017181  3.88057196], 68894.91, [ 6.38790883 12.52702773  4.58196908]]
[2, [ 9.97460035 11.88188832  3.92840082], 68894.91, [ 6.38790883 12.52702773  4.58196908]]
[1, [ 9.97409681 15.08172358  4.00000073], 68894.91, [ 6.38790883 12.52702773  4.58196908]]
[1, [ 9.97015614 12.12232871  4.0826327 ], 68894.91, [ 6.38790883 12.52702773  4.58196908]]
[1, [ 9.97326713 13.30245015  4.10817165], 68894.91, [ 6.38790883 12.52702773  4.58196908]]
[1, [ 9.97501557 14.79912264  4.10170568], 68894.91, [ 6.38790883 12.52702773  4.58196908]]
X[1, [ 9.96884233 12.23967475  3.81990193], 68894.95, [ 6.38790664 12.58803462  4.59376381]]
[1, [ 9.97397044 13.51228271  3.88081755], 68894.95, [ 6.38790664 12.58803462  4.59376381]]
[2, [ 9.97418239 11.89399681  3.9328235 ], 68894.95, [ 6.38790664 12.58803462  4.59376381]]
[1, [ 9.97413509 15.08441806  4.00925392], 68894.95, [ 6.38790664 12.58803462  4.59376381]]
