[1, [9.97319136 7.39438573 1.28233769], 72638.57, [6.60627432 5.0453168  2.00559978]]
X[1, [9.97257151 7.53462483 0.93962282], 72638.61, [6.59444713 5.10622328 2.01513681]]
[1, [9.97250074 7.40269459 1.28679818], 72638.61, [6.59444713 5.10622328 2.01513681]]
X[1, [9.96918484 7.54864512 0.94305315], 72638.65, [6.5830086  5.16501644 2.02470276]]
[1, [9.96924344 7.41427809 1.29064319], 72638.65, [6.5830086  5.16501644 2.02470276]]
X[1, [9.97431057 7.53127843 0.93706928], 72638.67, [6.57743557 5.193622   2.02953229]]
[1, [9.97327988 7.39432733 1.28167769], 72638.67, [6.57743557 5.193622   2.02953229]]
X[1, [9.9726508  7.53597613 0.93765918], 72638.71, [6.56658586 5.24924187 2.03924886]]
[1, [9.9715729  7.40408718 1.28259678], 72638.71, [6.56658586 5.24924187 2.03924886]]
X[1, [9.97079836 7.54970078 0.94126815], 72638.75, [6.55613859 5.3027178  2.04888105]]
[1, [9.96957276 7.41887517 1.29078907], 72638.75, [6.55613859 5.3027178  2.04888105]]
X[1, [9.9734379  7.53086224 0.93910314], 72638.77, [6.551068   5.32864572 2.05360511]]
[1, [9.97204862 7.39835936 1.280839  ], 72638.77, [6.551068   5.32864572 2.05360511]]
X[1, [9.97742165 7.51645102 0.92767492], 72638.79, [6.54610037 5.35403134 2.05824754]]
[1, [9.97709586 7.37866676 1.27820009], 72638.79, [6.54610037 5.35403134 2.05824754]]
X[1, [9.98209159 7.49739382 0.9239225 ], 72638.81, [6.54123641 5.37887284 2.0628067 ]]
[1, [9.97910324 7.36464467 1.27600468], 72638.81, [6.54123641 5.37887284 2.0628067 ]]
X[1, [9.97426967 4.25631446 3.78603748], 72640.99, [6.40773253 6.05700037 3.7473802 ]]
[2, [9.9781365  4.60355825 3.89930064], 72640.99, [6.40773253 6.05700037 3.7473802 ]]
[1, [9.97527195 4.36497888 4.04768895], 72640.99, [6.40773253 6.05700037 3.7473802 ]]
X[1, [9.97550031 4.25270212 3.76823486], 72641.01, [6.40739989 6.05860188 3.77372936]]
[2, [9.9788192  4.60032745 3.88155758], 72641.01, [6.40739989 6.05860188 3.77372936]]
[1, [9.97446828 4.36241353 4.02988358], 72641.01, [6.40739989 6.05860188 3.77372936]]
X[1, [9.9743286  4.25179371 3.77552402], 72641.05, [6.40675344 6.06171497 3.82518333]]
[2, [9.97869778 4.60325534 3.8888637 ], 72641.05, [6.40675344 6.06171497 3.82518333]]
[1, [9.97433188 4.36529372 4.04598075], 72641.05, [6.40675344 6.06171497 3.82518333]]
X[1, [9.97374213 4.25349411 3.76124603], 72641.07, [6.40643957 6.06322694 3.85028255]]
[2, [9.97867314 4.60028312 3.87454018], 72641.07, [6.40643957 6.06322694 3.85028255]]
[1, [9.97454132 4.36655889 4.02733562], 72641.07, [6.40643957 6.06322694 3.85028255]]
X[1, [9.97384743 4.25868768 3.81782907], 72641.15, [6.40524421 6.06898562 3.9466267 ]]
[2, [9.97822905 4.60143947 3.93118943], 72641.15, [6.40524421 6.06898562 3.9466267 ]]
[1, [9.97493738 4.36720952 4.07965649], 72641.15, [6.40524421 6.06898562 3.9466267 ]]
X[1, [9.9750926  4.25486265 3.80592072], 72641.17, [6.4049599  6.07035483 3.96970454]]
[2, [9.9783913  4.60263297 3.91931377], 72641.17, [6.4049599  6.07035483 3.96970454]]
[1, [9.97405136 4.36452688 4.06782105], 72641.17, [6.4049599  6.07035483 3.96970454]]
X[1, [9.97397202 4.25345871 3.80736451], 72641.21, [6.40440787 6.07301211 4.01458165]]
[2, [9.97858607 4.60497248 3.92501552], 72641.21, [6.40440787 6.07301211 4.01458165]]
[1, [9.97392322 4.36698646 4.07799957], 72641.21, [6.40440787 6.07301211 4.01458165]]
X[1, [ 9.96876334 12.22446758  3.81783095], 72645.19, [ 6.39500519 12.44827078  4.54515302]]
[1, [ 9.97428156 13.49125186  3.87665235], 72645.19, [ 6.39500519 12.44827078  4.54515302]]
[2, [ 9.97450206 11.8721608   3.93043469], 72645.19, [ 6.39500519 12.44827078  4.54515302]]
[1, [ 9.9739456  15.06625691  3.99918704], 72645.19, [ 6.39500519 12.44827078  4.54515302]]
[1, [ 9.96878439 12.10866969  4.08307036], 72645.19, [ 6.39500519 12.44827078  4.54515302]]
[1, [ 9.97497145 13.29570435  4.10482392], 72645.19, [ 6.39500519 12.44827078  4.54515302]]
[1, [ 9.97398239 14.78862631  4.10250692], 72645.19, [ 6.39500519 12.44827078  4.54515302]]
X[1, [ 9.96774855 12.23061713  3.81796192], 72645.23, [ 6.39500894 12.51224113  4.55804786]]
[1, [ 9.97400343 13.50124514  3.88265009], 72645.23, [ 6.39500894 12.51224113  4.55804786]]
[2, [ 9.97447796 11.88647668  3.93282043], 72645.23, [ 6.39500894 12.51224113  4.55804786]]
[1, [ 9.97392919 15.07987301  3.99949789], 72645.23, [ 6.39500894 12.51224113  4.55804786]]
[1, [ 9.96913656 12.12659536  4.08207158], 72645.23, [ 6.39500894 12.51224113  4.55804786]]
[1, [ 9.97496548 13.30896777  4.10532166], 72645.23, [ 6.39500894 12.51224113  4.55804786]]
[1, [ 9.97394284 14.80172099  4.10147187], 72645.23, [ 6.39500894 12.51224113  4.55804786]]
X[1, [ 9.96773979 12.27722198  3.8259644 ], 72645.29, [ 6.39501743 12.6040422   4.57692401]]
[1, [ 9.97397524 13.54694891  3.89431549], 72645.29, [ 6.39501743 12.6040422   4.57692401]]
[2, [ 9.97448287 11.93186183  3.93741769], 72645.29, [ 6.39501743 12.6040422   4.57692401]]
[1, [ 9.97317028 15.12376166  4.02239016], 72645.29, [ 6.39501743 12.6040422   4.57692401]]
[1, [ 9.96914555 12.17058561  4.08903048], 72645.29, [ 6.39501743 12.6040422   4.57692401]]
[1, [ 9.97425627 13.35237392  4.11958318], 72645.29, [ 6.39501743 12.6040422   4.57692401]]
[1, [ 9.97315905 14.84466372  4.12161058], 72645.29, [ 6.39501743 12.6040422   4.57692401]]
X[1, [ 9.96876652 12.25687451  3.81788906], 72645.31, [ 6.39502098 12.63352769  4.58301526]]
[1, [ 9.97392351 13.52630166  3.88682656], 72645.31, [ 6.39502098 12.63352769  4.58301526]]
[2, [ 9.97449027 11.9111363   3.93268152], 72645.31, [ 6.39502098 12.63352769  4.58301526]]
[1, [ 9.97392598 15.10312012  4.00744703], 72645.31, [ 6.39502098 12.63352769  4.58301526]]
[1, [ 9.97009279 12.14926901  4.08943925], 72645.31, [ 6.39502098 12.63352769  4.58301526]]
[1, [ 9.97496454 13.3310757   4.11564149], 72645.31, [ 6.39502098 12.63352769  4.58301526]]
[1, [ 9.97394265 14.82366973  4.1144384 ], 72645.31, [ 6.39502098 12.63352769  4.58301526]]
X[1, [ 9.96774749 12.26708982  3.82310656], 72645.35, [ 6.39502871 12.69080795  4.5948774 ]]
[1, [ 9.97396047 13.53580853  3.88732772], 72645.35, [ 6.39502871 12.69080795  4.5948774 ]]
[2, [ 9.97449921 11.92035038  3.93964399], 72645.35, [ 6.39502871 12.69080795  4.5948774 ]]
[1, [ 9.97398398 15.11178467  4.01881322], 72645.35, [ 6.39502871 12.69080795  4.5948774 ]]
[1, [ 9.96874194 12.16207845  4.08947848], 72645.35, [ 6.39502871 12.69080795  4.5948774 ]]
[1, [ 9.97394609 13.34318517  4.11495395], 72645.35, [ 6.39502871 12.69080795  4.5948774 ]]
[1, [ 9.9739636  14.83157797  4.1150858 ], 72645.35, [ 6.39502871 12.69080795  4.5948774 ]]
X[1, [ 9.97005552 12.27814006  3.82701531], 72645.39, [ 6.39503729 12.74582191  4.60642675]]
[1, [ 9.9750031  13.54697841  3.89439759], 72645.39, [ 6.39503729 12.74582191  4.60642675]]
[1, [ 9.97397331 15.12641702  4.01754112], 72645.39, [ 6.39503729 12.74582191  4.60642675]]
[2, [ 9.974504   11.92659054  3.93771035], 72645.39, [ 6.39503729 12.74582191  4.60642675]]
[1, [ 9.968762   12.16754417  4.08893129], 72645.39, [ 6.39503729 12.74582191  4.60642675]]
[1, [ 9.9739017  14.84558288  4.12101894], 72645.39, [ 6.39503729 12.74582191  4.60642675]]
[1, [ 9.97391721 13.34840537  4.12113889], 72645.39, [ 6.39503729 12.74582191  4.60642675]]
X[1, [ 9.96875427 12.25919002  3.82256155], 72645.41, [ 6.39504194 12.77247866  4.61213789]]
[1, [ 9.97391709 13.52738481  3.88469442], 72645.41, [ 6.39504194 12.77247866  4.61213789]]
[1, [ 9.97395783 15.10231301  4.0120827 ], 72645.41, [ 6.39504194 12.77247866  4.61213789]]
[2, [ 9.97451222 11.9114566   3.93194682], 72645.41, [ 6.39504194 12.77247866  4.61213789]]
[1, [ 9.96875249 12.15205894  4.08387222], 72645.41, [ 6.39504194 12.77247866  4.61213789]]
[1, [ 9.97497755 14.82625777  4.11461405], 72645.41, [ 6.39504194 12.77247866  4.61213789]]
[1, [ 9.97394448 13.33282859  4.11065222], 72645.41, [ 6.39504194 12.77247866  4.61213789]]
X[1, [10.0240814   7.40632996  1.07561526], 72657.03, [13.62614536  5.04472839  2.07485017]]
[1, [10.02424401  7.60544519  1.30371743], 72657.03, [13.62614536  5.04472839  2.07485017]]
X[1, [10.02558996  7.45128132  1.09182325], 72657.09, [13.63125486  5.12624704  2.08758945]]
[1, [10.025563    7.64805545  1.32206224], 72657.09, [13.63125486  5.12624704  2.08758945]]
X[1, [10.02487696  7.4275703   1.08539483], 72657.11, [13.63289054  5.15236732  2.09174117]]
[1, [10.02554153  7.62301161  1.31215128], 72657.11, [13.63289054  5.15236732  2.09174117]]
X[1, [10.02514722  7.43969917  1.08893713], 72657.15, [13.63606102  5.20300954  2.09982013]]
[1, [10.02591141  7.63351867  1.31715477], 72657.15, [13.63606102  5.20300954  2.09982013]]
X[1, [10.02641858  7.44899456  1.09518663], 72657.19, [13.63909801  5.25150616  2.10765894]]
[1, [10.0262636   7.64200313  1.32002553], 72657.19, [13.63909801  5.25150616  2.10765894]]
X[1, [10.02560515  7.43178342  1.08602612], 72657.21, [13.64056629  5.27494529  2.1115351 ]]
[1, [10.02546484  7.62407622  1.31161325], 72657.21, [13.64056629  5.27494529  2.1115351 ]]
X[1, [10.02408301  7.41428716  1.08064722], 72657.23, [13.64200078  5.29784237  2.11540376]]
[1, [10.02419766  7.61474957  1.30724352], 72657.23, [13.64200078  5.29784237  2.11540376]]
X[1, [10.02511866  7.41939895  1.0849167 ], 72657.27, [13.64476804  5.34200566  2.12313271]]
[1, [10.02523121  7.61842868  1.31280606], 72657.27, [13.64476804  5.34200566  2.12313271]]
X[1, [10.02540058  7.43234901  1.08484949], 72657.31, [13.64739991  5.3839894   2.13079698]]
[1, [10.02543868  7.62996222  1.31412314], 72657.31, [13.64739991  5.3839894   2.13079698]]
X[1, [10.03118539  4.24256797  3.79627926], 72659.47, [13.68072183  5.92720976  3.75555279]]
[2, [10.02587569  4.58916837  3.9125191 ], 72659.47, [13.68072183  5.92720976  3.75555279]]
[1, [10.03033188  4.34957407  4.06000162], 72659.47, [13.68072183  5.92720976  3.75555279]]
X[1, [10.03155934  4.23925841  3.77562165], 72659.49, [13.68073322  5.92827497  3.78421323]]
[2, [10.02519163  4.58539557  3.8873251 ], 72659.49, [13.68073322  5.92827497  3.78421323]]
[1, [10.03126195  4.350988    4.03927878], 72659.49, [13.68073322  5.92827497  3.78421323]]
X[1, [10.03119246  4.23556397  3.75468586], 72659.51, [13.68074316  5.92932036  3.81259814]]
[2, [10.02519053  4.58637718  3.8708316 ], 72659.51, [13.68074316  5.92932036  3.81259814]]
[1, [10.03117139  4.35191767  4.02286105], 72659.51, [13.68074316  5.92932036  3.81259814]]
X[1, [10.03126565  4.23751657  3.76562166], 72659.55, [13.68075871  5.93135233  3.86840811]]
[2, [10.02590083  4.58407518  3.88172364], 72659.55, [13.68075871  5.93135233  3.86840811]]
[1, [10.03264013  4.35000369  4.03375958], 72659.55, [13.68075871  5.93135233  3.86840811]]
X[1, [10.0302537   4.23793628  3.75259839], 72659.57, [13.68076435  5.93233936  3.89577208]]
[2, [10.02548657  4.58483556  3.8686985 ], 72659.57, [13.68076435  5.93233936  3.89577208]]
[1, [10.03118134  4.34574361  4.01635655], 72659.57, [13.68076435  5.93233936  3.89577208]]
X[1, [10.03024567  4.23973323  3.76117235], 72659.61, [13.68077136  5.93425657  3.94930475]]
[2, [10.02588227  4.5867932   3.87275688], 72659.61, [13.68077136  5.93425657  3.94930475]]
[1, [10.03129285  4.34758435  4.02495734], 72659.61, [13.68077136  5.93425657  3.94930475]]
X[1, [10.03120934  4.24365087  3.82313665], 72659.69, [13.68076822  5.93787139  4.05150671]]
[2, [10.02588725  4.59025931  3.93905062], 72659.69, [13.68076822  5.93787139  4.05150671]]
[1, [10.03033636  4.350617    4.08684637], 72659.69, [13.68076822  5.93787139  4.05150671]]
X[1, [10.03019082  4.24396747  3.80732977], 72659.71, [13.68076364  5.93873203  4.07606015]]
[2, [10.02521377  4.58632252  3.91873934], 72659.71, [13.68076364  5.93873203  4.07606015]]
[1, [10.03128861  4.35189318  4.07114024], 72659.71, [13.68076364  5.93873203  4.07606015]]
X[1, [15.97407752  4.79954212  6.60925194], 72663.47, [12.44978424  6.10657247  7.50216758]]
[1, [15.97339043  5.77325926  6.61105446], 72663.47, [12.44978424  6.10657247  7.50216758]]
[2, [15.98222374  4.4482584   6.72258038], 72663.47, [12.44978424  6.10657247  7.50216758]]
[2, [15.97696229  6.12381457  6.72657632], 72663.47, [12.44978424  6.10657247  7.50216758]]
[1, [15.97559598  4.69042779  6.87620007], 72663.47, [12.44978424  6.10657247  7.50216758]]
[1, [15.97432959  5.88397277  6.87665716], 72663.47, [12.44978424  6.10657247  7.50216758]]
X[1, [15.97792129  4.81189909  6.60120634], 72663.49, [12.44820774  6.10754053  7.5101548 ]]
[1, [15.97528741  5.78188134  6.60461077], 72663.49, [12.44820774  6.10754053  7.5101548 ]]
[2, [15.98626538  4.46031371  6.7188064 ], 72663.49, [12.44820774  6.10754053  7.5101548 ]]
[2, [15.9771926   6.12977079  6.71681057], 72663.49, [12.44820774  6.10754053  7.5101548 ]]
[1, [15.98005711  4.70120028  6.86951046], 72663.49, [12.44820774  6.10754053  7.5101548 ]]
[1, [15.97493177  5.89316503  6.86695614], 72663.49, [12.44820774  6.10754053  7.5101548 ]]
X[1, [15.98194435  4.81851756  6.59360499], 72663.51, [12.44675099  6.10849448  7.51771207]]
[1, [15.97580426  5.79188401  6.59444343], 72663.51, [12.44675099  6.10849448  7.51771207]]
[2, [15.99146085  4.47014815  6.71104063], 72663.51, [12.44675099  6.10849448  7.51771207]]
[2, [15.97619403  6.14110566  6.70730528], 72663.51, [12.44675099  6.10849448  7.51771207]]
[1, [15.98367351  4.71047067  6.86317142], 72663.51, [12.44675099  6.10849448  7.51771207]]
[1, [15.97662103  5.903536    6.86136152], 72663.51, [12.44675099  6.10849448  7.51771207]]
X[1, [15.97901608  4.81024129  6.60253875], 72663.55, [12.44416403  6.11036146  7.53153429]]
[1, [15.97496253  5.78225069  6.60525471], 72663.55, [12.44416403  6.11036146  7.53153429]]
[2, [15.98789157  4.46165018  6.71580062], 72663.55, [12.44416403  6.11036146  7.53153429]]
[2, [15.97664618  6.13255576  6.71423264], 72663.55, [12.44416403  6.11036146  7.53153429]]
[1, [15.98107183  4.70046078  6.86891796], 72663.55, [12.44416403  6.11036146  7.53153429]]
[1, [15.97546914  5.89841786  6.86833725], 72663.55, [12.44416403  6.11036146  7.53153429]]
X[1, [15.98207923  4.82402568  6.60106639], 72663.57, [12.44301759  6.11127466  7.53780059]]
[1, [15.97697189  5.79027811  6.60132093], 72663.57, [12.44301759  6.11127466  7.53780059]]
[2, [15.99383545  4.47094379  6.71376066], 72663.57, [12.44301759  6.11127466  7.53780059]]
[2, [15.97681349  6.14179405  6.71556238], 72663.57, [12.44301759  6.11127466  7.53780059]]
[1, [15.98369789  4.71329059  6.86455478], 72663.57, [12.44301759  6.11127466  7.53780059]]
[1, [15.97572524  5.90695309  6.8653839 ], 72663.57, [12.44301759  6.11127466  7.53780059]]
X[1, [15.98096289  4.81779337  6.60280438], 72663.61, [12.44098486  6.11306019  7.54905242]]
[1, [15.9758913   5.79117767  6.60096972], 72663.61, [12.44098486  6.11306019  7.54905242]]
[2, [15.99042555  4.46552828  6.71577569], 72663.61, [12.44098486  6.11306019  7.54905242]]
[2, [15.97668298  6.13968546  6.71593122], 72663.61, [12.44098486  6.11306019  7.54905242]]
[1, [15.98371071  4.70890665  6.86694382], 72663.61, [12.44098486  6.11306019  7.54905242]]
[1, [15.97562555  5.8998251   6.86998769], 72663.61, [12.44098486  6.11306019  7.54905242]]
X[1, [15.97776918  4.81317966  6.60518275], 72663.65, [12.43926201  6.1147908   7.55861244]]
[1, [15.97522732  5.78411984  6.60945432], 72663.65, [12.43926201  6.1147908   7.55861244]]
[2, [15.98688983  4.46115697  6.72185094], 72663.65, [12.43926201  6.1147908   7.55861244]]
[2, [15.97657039  6.13352355  6.71647161], 72663.65, [12.43926201  6.1147908   7.55861244]]
[1, [15.98119737  4.70265922  6.87400886], 72663.65, [12.43926201  6.1147908   7.55861244]]
[1, [15.9743526   5.89307949  6.87479787], 72663.65, [12.43926201  6.1147908   7.55861244]]
X[1, [15.9769449   4.80101765  6.61442096], 72663.69, [12.43780083  6.1164662   7.56649959]]
[1, [15.97454907  5.77780631  6.61270547], 72663.69, [12.43780083  6.1164662   7.56649959]]
[2, [15.98425183  4.45388216  6.72680407], 72663.69, [12.43780083  6.1164662   7.56649959]]
[2, [15.9766956   6.12372958  6.72478258], 72663.69, [12.43780083  6.1164662   7.56649959]]
[1, [15.97685443  4.69449037  6.87641289], 72663.69, [12.43780083  6.1164662   7.56649959]]
[1, [15.97507009  5.8868926   6.87814502], 72663.69, [12.43780083  6.1164662   7.56649959]]
X[1, [15.97983361  4.81393472  6.61362262], 72663.71, [12.43715291  6.11728305  7.56981936]]
[1, [15.97660272  5.78767965  6.61365343], 72663.71, [12.43715291  6.11728305  7.56981936]]
[2, [15.98851662  4.46357675  6.72565419], 72663.71, [12.43715291  6.11728305  7.56981936]]
[2, [15.97682459  6.13456908  6.7268086 ], 72663.71, [12.43715291  6.11728305  7.56981936]]
[1, [15.98103008  4.70596548  6.88028211], 72663.71, [12.43715291  6.11728305  7.56981936]]
[1, [15.97541562  5.8971781   6.88001259], 72663.71, [12.43715291  6.11728305  7.56981936]]
X[1, [15.97762901  4.80661032  6.62015275], 72663.75, [12.43599804  6.11887445  7.57521291]]
[1, [15.97566182  5.77681731  6.61830526], 72663.75, [12.43599804  6.11887445  7.57521291]]
[2, [15.98544851  4.45364175  6.73195907], 72663.75, [12.43599804  6.11887445  7.57521291]]
[2, [15.97756699  6.12427341  6.73185097], 72663.75, [12.43599804  6.11887445  7.57521291]]
[1, [15.97928577  4.69736619  6.883183  ], 72663.75, [12.43599804  6.11887445  7.57521291]]
[1, [15.97591679  5.88638678  6.88475958], 72663.75, [12.43599804  6.11887445  7.57521291]]
X[1, [15.98019539  4.80664694  6.62073619], 72663.77, [12.43548448  6.11964886  7.57728717]]
[1, [15.97649153  5.7807596   6.62055702], 72663.77, [12.43548448  6.11964886  7.57728717]]
[2, [15.98848435  4.4593264   6.73213659], 72663.77, [12.43548448  6.11964886  7.57728717]]
[2, [15.97779912  6.12883364  6.73475531], 72663.77, [12.43548448  6.11964886  7.57728717]]
[1, [15.98107562  4.69711314  6.88041675], 72663.77, [12.43548448  6.11964886  7.57728717]]
[1, [15.97583943  5.89059142  6.88330678], 72663.77, [12.43548448  6.11964886  7.57728717]]
X[1, [15.96934336 12.00263564  3.75437318], 72668.05, [12.45071381 12.50028609  5.06613612]]
[1, [15.96897714 13.31921549  4.02511469], 72668.05, [12.45071381 12.50028609  5.06613612]]
[1, [15.96815457 14.80629952  4.01747668], 72668.05, [12.45071381 12.50028609  5.06613612]]
[0, [15.97018148 14.78791889  6.9464267 ], 72668.05, [12.45071381 12.50028609  5.06613612]]
X[1, [15.9689847  12.01855994  3.75517473], 72668.09, [12.45075162 12.56229324  5.05664744]]
[1, [15.96942596 13.3330335   4.02656598], 72668.09, [12.45075162 12.56229324  5.05664744]]
[1, [15.96806635 14.82410263  4.016933  ], 72668.09, [12.45075162 12.56229324  5.05664744]]
[0, [15.97070163 14.79775224  6.94575211], 72668.09, [12.45075162 12.56229324  5.05664744]]
X[1, [15.96907183 12.06866771  3.74572853], 72668.15, [12.45080572 12.65106394  5.04368187]]
[1, [15.96812447 13.37571981  4.02192295], 72668.15, [12.45080572 12.65106394  5.04368187]]
[1, [15.96806617 14.87137766  4.01795143], 72668.15, [12.45080572 12.65106394  5.04368187]]
X[1, [15.96903638 12.07315081  3.74259588], 72668.19, [12.45083972 12.70739732  5.03580839]]
[1, [15.96805163 13.38703069  4.0186116 ], 72668.19, [12.45083972 12.70739732  5.03580839]]
[1, [15.96938184 14.87921319  4.02383577], 72668.19, [12.45083972 12.70739732  5.03580839]]
[0, [15.96993098 14.8382082   6.95618681], 72668.19, [12.45083972 12.70739732  5.03580839]]
X[1, [15.96805086 12.0535848   3.74958562], 72668.21, [12.45085603 12.73470658  5.0320812 ]]
[1, [15.96805806 14.86199616  4.01928756], 72668.21, [12.45085603 12.73470658  5.0320812 ]]
[1, [15.97034998 13.37109513  4.02052987], 72668.21, [12.45085603 12.73470658  5.0320812 ]]
[0, [15.97052076 14.82039966  6.95142655], 72668.21, [12.45085603 12.73470658  5.0320812 ]]
X[1, [15.96801596 12.03313658  3.75168795], 72668.23, [12.45087187 12.76144106  5.02848802]]
[1, [15.96905432 14.84131698  4.01788393], 72668.23, [12.45087187 12.76144106  5.02848802]]
[1, [15.96941685 13.34950818  4.0231945 ], 72668.23, [12.45087187 12.76144106  5.02848802]]
